timestamp_us,motor[0],motor[1],motor[2],motor[3],motor[4],motor[5],motor[6],motor[7],motor[8],motor[9],motor[10],motor[11],servo[0],servo[1],servo[2],servo[3],servo[4],servo[5],servo[6],servo[7]
668000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0042,0.0019,-0.0001,0.0001,nan,nan,nan,nan
672000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0054,0.0017,-0.0001,0.0001,nan,nan,nan,nan
676000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0059,0.0011,-0.0000,0.0000,nan,nan,nan,nan
680000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0041,-0.0012,-0.0000,0.0000,nan,nan,nan,nan
684000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0004,-0.0020,-0.0000,0.0000,nan,nan,nan,nan
688000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0019,-0.0001,0.0000,-0.0000,nan,nan,nan,nan
692000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0029,0.0009,0.0001,-0.0001,nan,nan,nan,nan
696000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0054,0.0001,0.0000,-0.0000,nan,nan,nan,nan
700000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0070,0.0003,0.0000,-0.0000,nan,nan,nan,nan
704000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020,0.0002,-0.0001,0.0001,nan,nan,nan,nan
708000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0022,-0.0008,-0.0002,0.0002,nan,nan,nan,nan
712000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0016,-0.0011,-0.0002,0.0003,nan,nan,nan,nan
716000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0060,-0.0021,-0.0003,0.0003,nan,nan,nan,nan
720000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0061,-0.0031,-0.0003,0.0003,nan,nan,nan,nan
724000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0037,-0.0024,-0.0003,0.0003,nan,nan,nan,nan
728000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0011,-0.0005,-0.0003,0.0003,nan,nan,nan,nan
732000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0001,0.0018,-0.0003,0.0003,nan,nan,nan,nan
736000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0016,0.0017,-0.0003,0.0003,nan,nan,nan,nan
740000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0047,-0.0009,-0.0003,0.0003,nan,nan,nan,nan
744000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0053,-0.0014,-0.0004,0.0004,nan,nan,nan,nan
748000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0027,0.0010,-0.0004,0.0004,nan,nan,nan,nan
752000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0034,0.0033,-0.0004,0.0004,nan,nan,nan,nan
756000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0049,0.0040,-0.0004,0.0004,nan,nan,nan,nan
760000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0026,0.0026,-0.0004,0.0004,nan,nan,nan,nan
764000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0013,-0.0004,-0.0003,0.0004,nan,nan,nan,nan
768000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0027,-0.0017,-0.0003,0.0003,nan,nan,nan,nan
772000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0046,0.0006,-0.0003,0.0003,nan,nan,nan,nan
776000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0058,0.0033,-0.0004,0.0004,nan,nan,nan,nan
780000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0035,0.0018,-0.0005,0.0005,nan,nan,nan,nan
784000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010,-0.0022,-0.0006,0.0006,nan,nan,nan,nan
788000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0043,-0.0031,-0.0006,0.0007,nan,nan,nan,nan
792000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0053,-0.0017,-0.0006,0.0007,nan,nan,nan,nan
